Fecha,Mes,Dia,Orden de dia,Tipo de dia,Franja,Orden de franja,Aeronave,Alcance,Asientos,Estado,Estado descrito,Origen,Destino,Ruta,N vuelos,N operados,N cancelados
2017-08-15,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,LED,DME - LED,2,2,0
2017-07-18,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,LED,DME - LED,2,2,0
2017-07-17,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,LED,DME - LED,1,1,0
2017-07-24,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,LED,DME - LED,1,1,0
2017-08-03,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,LED,DME - LED,1,1,0
2017-08-23,Agosto,Miercoles,3,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,DME,KZN,DME - KZN,1,0,0
2017-08-05,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,CEK,DME - CEK,1,1,0
2017-07-19,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,DME,KUF,DME - KUF,1,1,0
2017-08-29,Agosto,Martes,2,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,DME,ROV,DME - ROV,2,0,0
2017-08-07,Agosto,Lunes,1,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Arrived,Vuelo operado y finalizado,DME,ROV,DME - ROV,2,2,0
2017-09-07,Septiembre,Jueves,4,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,170,Scheduled,Vuelo programado a futuro,DME,ROV,DME - ROV,2,0,0
2017-08-23,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,VOZ,DME - VOZ,1,0,0
2017-07-30,Julio,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,12,Arrived,Vuelo operado y finalizado,DME,TBW,DME - TBW,1,1,0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Tarde (16-19),4,Cessna 208 Caravan,Regional,12,Arrived,Vuelo operado y finalizado,DME,TBW,DME - TBW,1,1,0
2017-07-21,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,GRV,DME - GRV,1,1,0
2017-07-26,Julio,Miercoles,3,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,PES,DME - PES,1,1,0
2017-07-26,Julio,Miercoles,3,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,NJC,DME - NJC,1,1,0
2017-08-22,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,DME,JOK,DME - JOK,1,0,0
2017-09-09,Septiembre,Sabado,6,Fin de semana,Manana (06-11),2,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,SCW,DME - SCW,1,0,0
2017-08-14,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Boeing 767-300,Largo alcance,222,Arrived,Vuelo operado y finalizado,DME,SCW,DME - SCW,1,1,0
2017-07-27,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,NAL,DME - NAL,1,1,0
2017-08-20,Agosto,Domingo,7,Fin de semana,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,NAL,DME - NAL,1,0,0
2017-08-17,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,NAL,DME - NAL,1,0,0
2017-08-21,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Scheduled,Vuelo programado a futuro,DME,NAL,DME - NAL,1,0,0
2017-08-10,Agosto,Jueves,4,Dia laborable,Mediodia (12-15),3,Bombardier CRJ-200,Regional,50,Arrived,Vuelo operado y finalizado,DME,NAL,DME - NAL,1,1,0
2017-08-20,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Airbus A319-100,Largo alcance,116,Scheduled,Vuelo programado a futuro,DME,BTK,DME - BTK,1,0,0
2017-09-03,Septiembre,Domingo,7,Fin de semana,Mediodia (12-15),3,Cessna 208 Caravan,Regional,12,Scheduled,Vuelo programado a futuro,DME,PKV,DME - PKV,1,0,0
2017-08-28,Agosto,Lunes,1,Dia laborable,Noche (20-23),5,Airbus A319-100,Largo alcance,116,Scheduled,Vuelo programado a futuro,DME,UUS,DME - UUS,1,0,0
2017-08-14,Agosto,Lunes,1,Dia laborable,Noche (20-23),5,Airbus A319-100,Largo alcance,116,Arrived,Vuelo operado y finalizado,DME,UUS,DME - UUS,1,1,0
2017-08-09,Agosto,Miercoles,3,Dia laborable,Noche (20-23),5,Airbus A319-100,Largo alcance,116,Arrived,Vuelo operado y finalizado,DME,UUS,DME - UUS,1,1,0
2017-08-28,Agosto,Lunes,1,Dia laborable,Tarde (16-19),4,Boeing 767-300,Largo alcance,222,Scheduled,Vuelo programado a futuro,DME,PKC,DME - PKC,1,0,0
2017-08-07,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,ESL,DME - ESL,1,1,0
2017-08-11,Agosto,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,ESL,DME - ESL,1,1,0
2017-08-17,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,ESL,DME - ESL,1,0,0
2017-07-25,Julio,Martes,2,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Arrived,Vuelo operado y finalizado,DME,MRV,DME - MRV,1,1,0
2017-07-21,Julio,Viernes,5,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Arrived,Vuelo operado y finalizado,DME,MRV,DME - MRV,1,1,0
2017-07-24,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Arrived,Vuelo operado y finalizado,DME,MRV,DME - MRV,1,1,0
2017-08-24,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Boeing 737-300,Corto y medio alcance,130,Scheduled,Vuelo programado a futuro,DME,MRV,DME - MRV,1,0,0
2017-08-15,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,NSK,DME - NSK,1,1,0
2017-09-08,Septiembre,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,NSK,DME - NSK,1,0,0
2017-09-09,Septiembre,Sabado,6,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,URJ,DME - URJ,1,0,0
2017-08-20,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,HMA,DME - HMA,1,0,0
2017-08-07,Agosto,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,97,Arrived,Vuelo operado y finalizado,DME,HMA,DME - HMA,1,1,0
2017-09-09,Septiembre,Sabado,6,Fin de semana,Mediodia (12-15),3,Sukhoi Superjet-100,Corto y medio alcance,97,Scheduled,Vuelo programado a futuro,DME,OVS,DME - OVS,1,0,0
