Fecha,Mes,Dia,Orden de dia,Tipo de dia,Franja,Orden de franja,Aeronave,Alcance,Regimen,Orden de regimen,Origen,Destino,Ruta,N operados,N puntuales,Minutos de demora,N con llegada,Minutos recuperados,Minutos programados,Minutos reales
2017-07-26,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,LED,DME - LED,1,1,1,1,0.0,55,55.0
2017-08-10,Agosto,Jueves,4,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,LED,DME - LED,1,1,5,1,-1.0,55,56.0
2017-07-31,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,LED,DME - LED,2,2,6,2,-1.0,110,111.0
2017-07-25,Julio,Martes,2,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,LED,DME - LED,1,1,4,1,0.0,55,55.0
2017-08-08,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Boeing 777-300,Largo alcance,Demora leve,3,DME,OVB,DME - OVB,1,1,7,1,1.0,205,204.0
2017-07-24,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,KZN,DME - KZN,1,1,3,1,0.0,55,55.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,KZN,DME - KZN,1,1,3,1,1.0,55,54.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora severa,5,DME,KZN,DME - KZN,1,0,171,1,0.0,55,55.0
2017-08-10,Agosto,Jueves,4,Dia laborable,Manana (06-11),2,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,KZN,DME - KZN,1,1,1,1,0.0,55,55.0
2017-07-17,Julio,Lunes,1,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,CEK,DME - CEK,1,1,3,1,1.0,120,119.0
2017-07-21,Julio,Viernes,5,Dia laborable,Manana (06-11),2,Sukhoi Superjet-100,Corto y medio alcance,Demora minima,2,DME,CEK,DME - CEK,1,1,3,1,0.0,120,120.0
2017-08-02,Agosto,Miercoles,3,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,Demora minima,2,DME,KUF,DME - KUF,1,1,3,1,0.0,65,65.0
2017-08-07,Agosto,Lunes,1,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,Demora minima,2,DME,KUF,DME - KUF,1,1,3,1,0.0,65,65.0
2017-07-17,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Boeing 767-300,Largo alcance,Salida puntual,1,DME,KUF,DME - KUF,1,1,0,1,-2.0,65,67.0
2017-07-16,Julio,Domingo,7,Fin de semana,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora leve,3,DME,ROV,DME - ROV,2,2,14,2,1.0,150,149.0
2017-07-24,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,ROV,DME - ROV,2,2,5,2,-1.0,150,151.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Airbus A321-200,Corto y medio alcance,Demora minima,2,DME,ROV,DME - ROV,2,2,6,2,0.0,150,150.0
2017-07-22,Julio,Sabado,6,Fin de semana,Tarde (16-19),4,Bombardier CRJ-200,Regional,Demora minima,2,DME,VOZ,DME - VOZ,1,1,1,1,0.0,35,35.0
2017-07-26,Julio,Miercoles,3,Dia laborable,Tarde (16-19),4,Cessna 208 Caravan,Regional,Demora minima,2,DME,TBW,DME - TBW,1,1,3,1,1.0,75,74.0
2017-07-24,Julio,Lunes,1,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora leve,3,DME,TBW,DME - TBW,1,1,8,1,-2.0,75,77.0
2017-08-15,Agosto,Martes,2,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora minima,2,DME,TBW,DME - TBW,1,1,2,1,0.0,75,75.0
2017-07-17,Julio,Lunes,1,Dia laborable,Tarde (16-19),4,Cessna 208 Caravan,Regional,Demora minima,2,DME,TBW,DME - TBW,1,1,3,1,-1.0,75,76.0
2017-07-20,Julio,Jueves,4,Dia laborable,Mediodia (12-15),3,Cessna 208 Caravan,Regional,Demora severa,5,DME,TBW,DME - TBW,1,0,242,1,0.0,75,75.0
2017-07-20,Julio,Jueves,4,Dia laborable,Tarde (16-19),4,Cessna 208 Caravan,Regional,Demora minima,2,DME,TBW,DME - TBW,1,1,1,1,-1.0,75,76.0
2017-08-08,Agosto,Martes,2,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,DME,GRV,DME - GRV,1,1,3,1,0.0,125,125.0
2017-07-19,Julio,Miercoles,3,Dia laborable,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora minima,2,DME,PES,DME - PES,1,1,3,1,0.0,65,65.0
2017-08-06,Agosto,Domingo,7,Fin de semana,Manana (06-11),2,Bombardier CRJ-200,Regional,Demora severa,5,DME,PES,DME - PES,1,0,186,1,0.0,65,65.0
2017-08-05,Agosto,Sabado,6,Fin de semana,Manana (06-11),2,Cessna 208 Caravan,Regional,Demora minima,2,DME,JOK,DME - JOK,1,1,2,1,1.0,125,124.0
